Time,Last Price,Last Size,Last Exchange,Bid Price,Bid Size,Bid Exchange,Ask Price,Ask Exchange,Ask Size,Trade Condition
19:44:59 ET,49.9,3495,DEX,49.85,2,Q,50.06,P,4,T
19:44:39 ET,49.9,1000,DF,49.85,2,Q,49.9,DEX,34,T
19:11:28 ET,50.15,1000,DEX,50.06,4,P,50.2,DEX,39,T
16:46:11 ET,50.16,1170,DEX,50.15,15,DEX,50.17,DEX,5,--
16:14:50 ET,49.6,4800,DEX,49.6,51,DEX,49.64,B,4,--
16:14:50 ET,49.6,1700,Q,49.6,52,DEX,49.67,B,4,--
16:14:47 ET,49.62,4000,P,49.62,40,P,49.65,PH,2,--
16:14:44 ET,49.62,1100,P,49.62,40,P,49.67,Q,4,--
16:10:50 ET,49.8,1500,P,49.8,17,P,49.82,DEA,2,--
16:10:50 ET,49.75,1000,Q,49.81,7,DEX,49.89,B,2,T
16:10:50 ET,49.75,1000,Q,49.81,7,DEX,49.89,B,2,T
16:09:20 ET,49.95,1335,DEX,49.81,5,DEX,49.97,NATL,2,--
16:00:00 ET,50.04,2662,Q,49.99,48,Q,50.03,BYX,2,--
15:59:52 ET,50.0781,3300,DF,50.03,1,Q,50.07,Q,2,--
15:59:48 ET,50.0926,1500,DF,50.08,1,Q,50.12,PH,1,--
15:59:21 ET,50.2188,1000,DF,50.2,3,Z,50.24,DEX,1,--
15:59:05 ET,50.2349,1200,DF,50.22,5,Q,50.25,Q,7,--
15:59:02 ET,50.23,1000,DF,50.21,4,Q,50.25,IX,1,--
15:58:47 ET,50.1301,4500,DF,50.13,1,Q,50.15,Q,3,--
15:56:30 ET,50.15,1000,DEX,50.08,4,PH,50.1,NATL,1,--
15:55:53 ET,50.1,1729,Q,50.08,3,Q,50.09,Z,1,--
15:54:26 ET,50.05,1300,Q,50.04,1,P,50.06,Q,2,--
15:51:29 ET,50.1257,1000,DF,50.11,1,DEX,50.13,Q,2,--
15:51:16 ET,50.124,1000,DF,50.11,2,Q,50.15,Q,5,--
15:49:02 ET,50.265,1100,DF,50.26,2,Q,50.27,Q,1,--
15:48:28 ET,50.2,2000,DEX,50.19,3,Q,50.2,DEX,20,--
15:45:41 ET,50.044,1493,DF,50.03,1,Q,50.07,IX,1,--
15:45:11 ET,50.0402,1800,DF,50.04,1,Q,50.06,Q,1,--
15:45:11 ET,50.04,4200,DF,50.04,1,Q,50.06,Q,1,--
15:44:37 ET,49.9502,1000,DF,49.95,26,DEX,49.99,Q,2,--
15:43:19 ET,50.05,1070,Q,50.05,5,DEX,50.06,Q,3,--
15:41:44 ET,50.1146,1000,DF,50.08,4,Z,50.12,Q,2,--
15:38:10 ET,50.15,1000,DF,50.15,1,PH,50.2,IX,1,--
15:37:39 ET,50.25,1300,Q,50.22,7,Q,50.27,N,1,--
15:37:39 ET,50.25,2220,Q,50.22,7,Q,50.25,Q,13,--
15:37:39 ET,50.25,1300,Q,50.22,7,Q,50.25,Q,13,--
15:34:31 ET,50.2349,4900,DF,50.21,3,DEX,50.24,IX,1,--
15:33:15 ET,50.319,1000,DF,50.29,2,Q,50.32,Q,2,--
15:33:01 ET,50.3064,1000,DF,50.28,5,Q,50.32,Q,1,--
15:31:56 ET,50.25,1000,DEX,50.15,6,PH,50.21,P,3,--
15:18:38 ET,49.99,2160,DF,49.96,1,Q,49.99,Q,2,--
15:18:38 ET,50,1840,DEX,49.97,1,Z,50.01,Q,5,--
15:16:19 ET,50.0671,4900,DF,50.05,1,Q,50.08,Q,1,--
15:15:21 ET,50.09,1653,DF,50.07,2,Z,50.09,Q,1,--
15:09:33 ET,50,4500,DF,49.99,1,Q,50.02,DEX,5,--
15:07:45 ET,50.0501,2000,DF,50.05,1,DEX,50.07,Q,1,--
15:05:58 ET,50.0634,1000,DF,50.05,1,DEA,50.09,IX,1,--
15:04:56 ET,50.09,1000,DF,50.06,4,Q,50.09,Q,1,--
15:03:45 ET,50.06,3000,DEX,50.05,1,Q,50.07,Q,2,--
15:03:09 ET,50.05,1000,DF,50.04,1,Q,50.07,Q,3,--
15:00:50 ET,50.0228,1155,DF,50.01,2,Q,50.05,DEX,1,--
14:59:23 ET,50.0267,1000,DF,50.02,1,DEX,50.04,Q,1,--
14:53:07 ET,50.04,1100,Q,50.03,1,Q,50.05,Q,5,--
14:53:02 ET,50.04,1100,DF,50.04,11,Q,50.05,Z,2,--
14:43:31 ET,50.0893,2000,DF,50.07,1,Q,50.1,Q,1,--
14:39:55 ET,50.0225,1000,DF,50.01,1,Q,50.04,Q,2,--
14:39:26 ET,50.02,1500,DEX,50.02,15,DEX,50.04,Q,5,--
14:30:27 ET,50.0105,1170,DF,49.99,12,DEX,50.02,Q,2,--
14:24:36 ET,50.01,1200,DF,50,1,Q,50.01,IX,1,--
14:24:08 ET,50.0238,1000,DF,50.01,1,Q,50.04,Q,1,--
14:22:53 ET,50.0273,1000,DF,50.02,1,DEX,50.04,DEX,1,--
14:22:01 ET,50.0542,2490,DF,50.05,7,Q,50.06,Q,2,--
14:20:09 ET,50.0372,2000,DF,50.02,2,Q,50.05,Q,1,--
14:20:03 ET,50.0378,1000,DF,50.01,1,Q,50.04,Q,2,--
14:18:28 ET,50.22,1000,DF,50.22,3,Q,50.23,DEX,1,--
14:17:50 ET,50.2,1600,Q,50.19,2,B,50.2,P,1,--
14:16:44 ET,50.0799,1000,DF,50.05,2,Q,50.08,Q,4,--
14:13:51 ET,50.0352,1000,DF,50.02,1,Q,50.04,DEX,2,--
14:13:29 ET,50.0186,2700,DF,50.01,4,Q,50.04,Q,1,--
14:13:29 ET,50.02,2700,DEX,50.01,3,Q,50.02,DEX,32,--
14:12:50 ET,50.025,1200,DF,50.01,2,Q,50.04,Q,4,--
14:11:50 ET,50.0384,2000,DF,50.01,2,Q,50.04,Q,4,--
14:11:21 ET,50.04,2000,DEX,50.02,1,BYX,50.04,DEX,3,--
14:11:20 ET,50.0399,2000,DF,50.02,1,BYX,50.04,DEX,24,--
14:06:33 ET,49.99,1000,DF,49.98,1,N,50,Q,2,--
14:04:21 ET,49.98,2000,DF,49.97,2,Z,49.99,Q,1,--
14:04:12 ET,49.9701,4850,DF,49.97,2,Z,49.99,Q,1,--
14:03:53 ET,49.96,1000,DF,49.95,2,Q,49.97,Q,1,--
14:02:53 ET,49.97,4000,DF,49.96,1,Q,49.98,DEX,58,--
14:01:37 ET,49.9981,1000,DF,49.99,1,BYX,50.01,Q,9,--
14:00:39 ET,49.9916,1800,DF,49.99,1,Q,50.02,Q,2,--
14:00:39 ET,49.9916,1000,DF,49.99,1,Q,50.02,Q,2,--
14:00:22 ET,50,1000,DEX,49.99,4,DEX,50,Q,1,--
13:57:21 ET,50.0162,1025,DF,50,1,IX,50.04,DEX,3,--
13:53:52 ET,49.985,1000,DF,49.97,1,Q,50,Q,2,--
13:45:28 ET,49.9637,1000,DF,49.95,1,Q,49.97,DEX,2,--
13:44:40 ET,49.945,2551,DF,49.94,1,DEX,49.96,Q,1,--
13:31:13 ET,49.97,8000,DF,49.94,1,Q,49.97,Q,2,--
13:22:01 ET,49.9484,1000,DF,49.93,2,Q,49.96,Q,2,--
13:08:48 ET,50.0298,1000,DF,50.01,1,Q,50.03,Q,2,--
13:08:47 ET,50,1000,DF,50.01,2,Q,50.03,Q,2,--
13:08:47 ET,50.02,1100,P,50.01,1,Z,50.02,P,12,--
13:08:47 ET,50.02,1100,Z,50.01,1,Q,50.02,P,12,--
13:08:47 ET,50.01,1000,Q,49.99,2,Q,50,DEX,25,--
13:03:18 ET,49.9478,1000,DF,49.93,2,Q,49.95,DEX,1,--
13:02:26 ET,49.9577,1000,DF,49.94,3,Q,49.97,Q,2,--
12:58:16 ET,49.965,1500,DF,49.94,1,Q,49.99,Q,5,--
12:53:10 ET,49.9787,5000,DF,49.95,1,Q,49.98,Q,1,--
12:51:47 ET,49.9794,1000,DF,49.94,1,Q,49.98,Q,2,--
12:47:46 ET,49.9534,1000,DF,49.95,1,Q,49.96,DEX,3,--
12:47:12 ET,49.97,1150,DEX,49.96,1,Q,49.97,DEX,11,--
12:45:44 ET,49.9401,5000,DF,49.94,2,Q,49.97,DEX,20,--
12:44:36 ET,49.9513,2000,DF,49.95,1,IX,49.98,DEX,22,--
12:43:10 ET,49.9649,1000,DF,49.96,1,BYX,49.98,Q,2,--
12:42:46 ET,49.98,2845,DEX,49.98,1,Q,49.98,DEX,28,--
12:37:01 ET,49.9694,1500,DF,49.96,1,Q,49.98,Q,4,--
12:33:17 ET,49.9481,1000,DF,49.94,1,Q,49.96,DEX,1,--
12:24:01 ET,49.9593,1250,DF,49.92,2,Q,49.96,DEX,6,--
12:23:31 ET,49.95,1300,DF,49.92,3,Q,49.95,Q,2,--
12:19:19 ET,49.95,3998,DEX,49.94,1,Q,49.95,Q,2,--
12:16:18 ET,49.8879,1100,DF,49.88,1,N,49.91,Q,1,--
12:15:03 ET,49.8843,1080,DF,49.87,1,Q,49.9,Q,1,--
12:14:07 ET,49.8706,1500,DF,49.86,2,P,49.88,Q,3,--
12:10:01 ET,49.7513,1100,DF,49.72,2,Q,49.76,Q,1,--
12:07:40 ET,49.743,1000,DF,49.74,3,Q,49.75,Q,1,--
12:04:51 ET,49.74,2000,DF,49.74,3,Q,49.77,Q,1,--
12:02:21 ET,49.75,1300,Q,49.74,3,Q,49.75,Q,1,--
12:02:21 ET,49.75,1069,Q,49.74,2,Q,49.75,Q,14,--
12:01:56 ET,49.74,3000,DF,49.73,2,Q,49.75,Q,26,--
11:51:28 ET,49.7799,1900,DF,49.75,5,DEX,49.78,Z,3,--
11:50:38 ET,49.76,1000,DF,49.76,2,Q,49.8,Q,3,--
11:50:07 ET,49.78,1952,DEX,49.78,19,DEX,49.79,Q,1,--
11:46:50 ET,49.81,1000,DF,49.77,1,Q,49.81,Q,1,--
11:46:40 ET,49.7997,1000,DF,49.77,1,Q,49.81,Q,1,--
11:44:56 ET,49.69,1000,Q,49.66,1,Q,49.7,Q,1,--
11:44:27 ET,49.62,2900,DF,49.62,3,DEX,49.66,Z,2,--
11:43:54 ET,49.7705,2000,DF,49.75,2,Q,49.77,IX,1,--
11:40:49 ET,49.95,1091,DEX,49.94,1,Q,49.97,DEX,4,--
11:40:45 ET,49.95,1800,DF,49.94,1,DEX,49.95,DEX,20,--
11:40:44 ET,49.93,2000,DF,49.93,3,Q,49.95,DEX,20,--
11:39:43 ET,49.97,1500,DF,49.95,3,Q,49.99,Q,2,--
11:37:12 ET,49.9768,1000,DF,49.95,2,Z,49.99,DEX,1,--
11:36:58 ET,49.97,1000,Q,49.96,2,P,49.99,Q,1,--
11:34:56 ET,49.96,4000,DEX,49.95,1,Q,49.96,DEX,44,--
11:34:46 ET,49.96,5100,DEX,49.95,1,Q,49.97,Q,8,--
11:33:21 ET,49.9204,1000,DF,49.92,1,Q,49.96,Q,1,--
11:32:53 ET,49.9304,4400,DF,49.93,1,N,49.97,DEX,5,--
11:31:59 ET,49.9505,1000,DF,49.94,1,Q,49.97,Q,1,--
11:30:27 ET,49.95,2500,Q,49.93,2,Z,49.95,Q,5,--
